e-type;adaptation;avg_isi;electrode_0_pa;f_i_curve_slope;fast_trough_t_long_square;fast_trough_t_ramp;fast_trough_t_short_square;fast_trough_v_long_square;fast_trough_v_ramp;fast_trough_v_short_square;input_resistance_mohm;latency;peak_t_long_square;peak_t_ramp;peak_t_short_square;peak_v_long_square;peak_v_ramp;peak_v_short_square;ri;sag;seal_gohm;slow_trough_t_long_square;slow_trough_t_ramp;slow_trough_t_short_square;slow_trough_v_long_square;slow_trough_v_ramp;slow_trough_v_short_square;tau;threshold_i_long_square;threshold_i_ramp;threshold_i_short_square;threshold_t_long_square;threshold_t_ramp;threshold_t_short_square;threshold_v_long_square;threshold_v_ramp;threshold_v_short_square;trough_t_long_square;trough_t_ramp;trough_t_short_square;trough_v_long_square;trough_v_ramp;trough_v_short_square;upstroke_downstroke_ratio_long_square;upstroke_downstroke_ratio_ramp;upstroke_downstroke_ratio_short_square;vm_for_sag;vrest
Exc_1;;;-40.6575016709265;0.129997309118334;1.035295;8.761275;1.0255125;-51.9687538146973;-46.2916679382324;-52.9322935740153;281.624384;0.00522;1.033185;8.75925333333334;1.02347083333333;31.0;26.9687519073486;34.2708339691162;100.000038743019;0.0120830200612545;1.284698496;;8.775585;;;-47.8958371480306;;8.48381375018388;140.0;193.416661580404;260.0;1.032705;8.75859666666667;1.02302833333333;-42.65625;-34.2604179382324;-46.442710240682;1.035605;8.775585;1.049555;-52.25;-47.8958371480306;-59.4322948455811;2.74629636436668;1.9913458199981;3.00036067777369;-68.9375;-57.3023872375488
Exc_1;;;-18.0731228593967;0.0421568659264566;1.11404;5.952615;1.025115;-42.0;-40.1041666666667;-49.020835240682;239.438256;0.045045;1.111485;5.95050666666667;1.02347916666667;31.3750019073486;29.8645846048991;30.354167620341;323.28137755394;0.0213349647819996;1.88788864;;5.97745833333333;;;-48.0416692097982;;35.0726067064768;110.0;123.20832824707;790.0;1.110975;5.94994;1.02308083333333;-27.6562519073486;-26.114585240682;-41.0885423024495;1.144405;5.97745833333333;1.74338083333333;-50.15625;-48.0416692097982;-73.3072942097982;2.58794971224345;2.23973781036429;2.56788394319507;-103.500007629395;-71.5274658203125
Exc_1;;;-11.3556256411962;0.021264367816092;1.06352;12.4559516666667;1.02498125;-38.9375;-38.75;-49.2500038146973;95.787344;0.036535;1.062275;12.4547683333333;1.02348;23.5625;11.75;35.9062519073486;82.8121155500412;0.128487274050713;1.998873088;;12.4771166666667;;;-44.1562525431315;;9.43292454457294;230.0;285.833333333333;730.0;1.06162;12.4531183333333;1.0230225;-24.5625;-26.7604179382324;-46.2968778610229;1.08326;12.4771166666667;1.56770375;-42.1875;-44.1562525431315;-77.8515682220459;1.41825104068816;0.850195943880145;2.30170615000037;-90.3750076293945;-76.910285949707
Exc_1;;56.77;36.682500786922;0.0276657050453974;1.110005;7.49691166666667;1.025258;-44.1875;-43.1041679382324;-49.2250022888184;120.474672;0.047385;1.106145;7.494415;1.02349;31.0937519073486;28.2708339691162;40.7812507629395;122.812658548355;0.112924814224243;2.240793088;;7.52062333333333;;;-49.8229192097982;;18.9229147209034;170.0;161.875;1100.0;1.10556;7.49376833333333;1.023063;-30.8125019073486;-29.364585240682;-48.9250022888184;1.148005;7.52062333333333;1.359876;-50.0;-49.8229192097982;-77.7687545776367;2.46979508997667;1.99783899978511;3.05023403750035;-92.15625;-77.0024719238281
Exc_1;;;0.0193749469322001;0.0142857216815558;1.14641;9.6322;1.02674125;-48.1562538146973;-48.8645858764648;-54.8437519073486;110.686928;0.0796300000000001;1.138785;9.62531833333333;1.023585;21.1562519073486;27.3750006357829;37.0859403610229;88.4374603629112;0.0902357399463654;2.624373248;;9.65709666666667;;;-54.6041679382324;;18.8083276049914;410.0;215.125;1490.0;1.137935;9.62464;1.0230775;-32.8125038146973;-33.7187512715658;-54.2265653610229;1.17575;9.65709666666667;1.21939;-51.7500038146973;-54.6041679382324;-80.0000019073486;3.05740272851998;3.41259384097311;3.83523929276753;-89.0;-79.6286163330078
Exc_1;;;17.4787510853758;0.0448844920022316;1.08656;5.307645;1.02516125;-46.7812538146973;-49.0312519073486;-52.1484403610229;206.064512;0.0450000000000002;1.084235;5.3051375;1.023415;29.1875;28.7031269073486;29.7734384536743;335.937708616257;0.0485723428428173;2.279096832;;5.3214325;;;-52.0312519073486;;23.5713573041281;110.0;107.124996185303;550.0;1.083645;5.304475;1.0229175;-34.15625;-33.015625;-45.0234403610229;1.123645;5.3214325;1.451805;-50.8125;-52.0312519073486;-66.7500019073486;2.39324221794046;2.06803537566304;2.54714320829469;-84.4375076293945;-65.9088363647461
Exc_1;;81.6150000000002;-36.9874998684683;0.0280736394103709;1.076205;5.598615;1.025151;-46.3125038146973;-42.3333358764648;-49.7812515258789;166.47664;0.02833;1.07399;5.596675;1.023295;23.0;24.25;25.2250015258789;241.562351584435;0.0807100906968117;1.5841792;;5.62633333333333;;;-51.2187538146973;;28.7572303126281;90.0;114.416661580404;469.999969482422;1.07348;5.59599833333333;1.022858;-36.46875;-31.177085240682;-52.6500030517578;1.100895;5.62633333333333;1.821593;-52.15625;-51.2187538146973;-71.6562576293945;3.02234772297291;2.30141178925644;3.54458625946822;-96.28125;-70.0331954956055
Exc_1;;30.0499999999999;64.2137523709785;0.0277202079243347;1.094465;4.74947833333333;1.024862;-47.0312538146973;-43.6562525431315;-51.7625022888184;323.426176;0.0336450000000001;1.091495;4.74732666666667;1.023183;23.9062519073486;26.0000012715658;29.5500015258789;285.223558213976;0.161466613411903;3.044165888;;4.77533;;;-51.2604166666667;;22.7236146361384;130.0;93.1666666666667;820.0;1.090925;4.74667166666667;1.022797;-34.125;-30.7916673024495;-48.1500030517578;1.457485;4.77533;1.527155;-51.53125;-51.2604166666667;-79.6062515258789;2.57850441903965;1.92173728989042;2.90123821852203;-104.59375;-79.1408386230469
Exc_1;;;49.3356258624011;0.0348101195836744;1.109405;11.29304;1.02525833333333;-42.0;-41.71875;-48.3229179382324;93.04396;0.0621150000000001;1.106385;11.29091;1.02349833333333;40.4062538146973;48.7812538146973;45.7083358764648;60.6970116496086;0.0136078074574471;1.8188576;;11.3288975;;;-51.5781269073486;;13.502059264075;490.0;256.749992370605;1829.99975585938;1.105965;11.2905325;1.02306333333333;-32.46875;-33.7968769073486;-50.5729192097982;1.134905;11.3288975;1.73348666666667;-49.125;-51.5781269073486;-79.1145909627279;3.92193249325459;3.86543960084818;3.13574840757007;-86.0625076293945;-79.3246078491211
Exc_1;;;-73.2956265125928;0.0378731305722961;1.09706;7.44864166666667;1.02510166666667;-43.5937538146973;-43.3229179382324;-49.7239596048991;200.095456;0.0414350000000001;1.09461;7.44572;1.02336;37.1875;37.9062512715658;42.9010448455811;148.437544703484;0.149942681193352;2.261890048;;7.48429833333333;;;-52.6770871480306;;17.30121480862;210.0;160.583333333333;1080.0;1.094095;7.445185;1.0229625;-34.375;-31.489585240682;-48.2968762715658;1.120215;7.48429833333333;1.26442666666667;-48.7500038146973;-52.6770871480306;-79.3333384195964;3.01166494625124;2.91308196367861;3.70427079477545;-94.6875076293945;-78.6672973632812
