e-type;m-type;adaptation;avg_isi;electrode_0_pa;f_i_curve_slope;fast_trough_t_long_square;fast_trough_t_ramp;fast_trough_t_short_square;fast_trough_v_long_square;fast_trough_v_ramp;fast_trough_v_short_square;input_resistance_mohm;latency;peak_t_long_square;peak_t_ramp;peak_t_short_square;peak_v_long_square;peak_v_ramp;peak_v_short_square;ri;sag;seal_gohm;slow_trough_t_long_square;slow_trough_t_ramp;slow_trough_t_short_square;slow_trough_v_long_square;slow_trough_v_ramp;slow_trough_v_short_square;tau;threshold_i_long_square;threshold_i_ramp;threshold_i_short_square;threshold_t_long_square;threshold_t_ramp;threshold_t_short_square;threshold_v_long_square;threshold_v_ramp;threshold_v_short_square;trough_t_long_square;trough_t_ramp;trough_t_short_square;trough_v_long_square;trough_v_ramp;trough_v_short_square;upstroke_downstroke_ratio_long_square;upstroke_downstroke_ratio_ramp;upstroke_downstroke_ratio_short_square;vm_for_sag;vrest;average_bifurcation_angle_local;average_contraction;average_diameter;average_fragmentation;average_parent_daughter_ratio;max_branch_order;max_euclidean_distance;max_path_distance;neuron_reconstruction_type;number_bifurcations;number_branches;number_nodes;number_stems;number_tips;overall_depth;overall_height;overall_width;scale_factor_x;scale_factor_y;scale_factor_z;soma_surface;superseded;total_length;total_surface;total_volume
Exc_1;Spiny_5;;41.485;16.5418737735346;0.0551470573880676;1.073525;6.79820833333333;1.02525125;-48.03125;-50.0833333333333;-50.1953153610229;159.969024;0.0244600000000001;1.071365;6.79599;1.02347625;36.5;37.6562512715658;43.8828125;124.375075101852;0.0180059671401978;2.753473024;;6.81146833333333;;;-55.2708346048991;;12.6634987683973;230.0;144.416666666667;910.0;1.07092;6.79551166666667;1.02309625;-35.875;-32.677085240682;-51.4531259536743;2.01908;6.81146833333333;1.60063;-50.21875;-55.2708346048991;-82.3359394073486;2.95855292865785;2.64643035369773;3.83915034603926;-96.28125;-81.8460159301758;75.7097010047066;0.889007705222545;0.310411918840253;33.1228070175439;0.962520827112341;5.0;312.763491660775;335.097447403371;dendrite-only;29;64;2090;6;35;63.6423;376.468330816604;226.763633262807;0.1144;0.1144;0.28;178.594944494152;FALSE;2482.85314836365;2430.90030962174;214.074138867678
Exc_1;Spiny_5;;26.8649999999999;21.7075003805522;0.057565020287626;1.058955;14.1738366666667;1.02513875;-53.4687538146973;-47.8333333333333;-55.1328153610229;207.841568;0.0195350000000001;1.057;14.1707316666667;1.02338875;24.2187519073486;16.5520836512248;31.7734384536743;99.9399051070213;0.0042560053989291;2.37781376;;;;;;;11.6758039199953;360.0;328.75;1060.0;1.0565;14.1699366666667;1.023;-38.4375;-31.0208358764648;-53.0468769073486;1.05911;14.1803166666667;1.6546175;-53.6250038146973;-50.6979204813639;-84.7187519073486;2.83148997145048;1.53825935788929;3.41168221011192;-96.1562576293945;-85.4491729736328;61.6829612427649;0.855340759491789;0.458228705680872;43.7297297297297;0.796809984622257;5.0;330.56588379972;352.85874344202;dendrite-only;19;41;1642;3;22;51.8112;395.419475660421;228.581187093333;0.1144;0.1144;0.28;243.086891302335;FALSE;1690.18831933703;2454.26531829607;324.899009364393
Exc_1;Spiny_5;;47.555;18.6174981681164;0.0405063291139241;1.080785;4.44117333333333;1.024957;-47.6562538146973;-46.8854192097982;-52.2437522888184;198.950144;0.0343900000000001;1.078795;4.439255;1.023349;29.8437519073486;31.1979173024495;30.1375015258789;234.687611460686;0.0607179217040539;2.129826816;;4.46532;;;-54.9479204813639;;23.6110219253921;150.0;85.5;889.999938964844;1.078335;4.43877;1.022934;-32.84375;-31.614585240682;-42.2312522888184;1.098805;4.46532;1.620229;-51.0312538146973;-54.9479204813639;-77.6437515258789;2.2906380047921;2.08626728986747;2.4388730821729;-98.3750076293945;-76.8264770507812;68.615787587027;0.889912961775229;0.465274203330091;54.9393939393939;0.828333651185739;7.0;448.123460221221;476.523318316069;dendrite-only;17;41;2091;7;24;104.384;565.935242158917;297.210828655131;0.1144;0.1144;0.28;561.368207982856;FALSE;2516.33895564718;3652.51927075551;484.03797908115
Exc_1;Spiny_5;;;-19.3162499884103;0.0158742935628127;1.08246;7.79269833333333;1.025134;-47.84375;-48.0104179382324;-49.9187522888184;149.6124;0.0716750000000002;1.0806;7.79090666666667;1.023422;39.78125;43.4583333333333;41.3187507629395;107.968866825104;0.0309457462280989;2.187434496;;7.80942;;;-54.0000025431315;;11.459694659171;250.0;169.25;1090.0;1.08017;7.7905;1.02304;-38.5625038146973;-33.1562525431315;-50.3937522888184;1.806795;7.80942;1.457823;-53.0937538146973;-54.0000025431315;-83.0875030517578;3.12721730363885;3.08969518379955;3.54016102277228;-94.03125;-82.7531585693359;56.075096571077;0.89998330953772;0.415032130071423;41.7272727272727;0.82193799393301;5.0;318.040615932997;341.189667773407;dendrite-only;22;49;1921;5;27;69.7356;420.655834557945;259.355807016821;0.1144;0.1144;0.28;348.121157638609;FALSE;2189.54286413929;2862.12923351281;349.002428784272
Exc_1;Spiny_7;;;17.4787510853758;0.0448844920022316;1.08656;5.307645;1.02516125;-46.7812538146973;-49.0312519073486;-52.1484403610229;206.064512;0.0450000000000002;1.084235;5.3051375;1.023415;29.1875;28.7031269073486;29.7734384536743;335.937708616257;0.0485723428428173;2.279096832;;5.3214325;;;-52.0312519073486;;23.5713573041281;110.0;107.124996185303;550.0;1.083645;5.304475;1.0229175;-34.15625;-33.015625;-45.0234403610229;1.123645;5.3214325;1.451805;-50.8125;-52.0312519073486;-66.7500019073486;2.39324221794046;2.06803537566304;2.54714320829469;-84.4375076293945;-65.9088363647461;78.9356938931997;0.919951904913439;0.337574914080073;53.0882352941176;0.771828456767934;9.0;648.068883536689;717.241478216557;dendrite-only;17;43;2032;9;26;114.4626;770.886006235131;218.000911642721;0.1144;0.1144;0.28;306.645819998121;FALSE;2329.08521886198;2472.57375715543;240.499645505404
Exc_2;Spiny_12;0.199393342764563;151.493333333333;-19.218749855443;0.136379309734747;1.118815;5.468805;1.0251325;-43.2500038146973;-43.4479179382324;-48.0781259536743;237.4744;0.0501;1.11631;5.46651666666667;1.02344875;36.25;36.65625;41.3046875;135.312497615814;0.114090159535408;2.790733312;1.13807;5.49347166666667;1.63925875;-48.90625;-52.1666692097982;-69.5234375;16.3383327160489;210.0;111.124997456868;1180.0;1.11585;5.46603333333333;1.02309;-27.3750019073486;-26.2812519073486;-40.7265644073486;1.13807;5.49347166666667;1.63925875;-48.90625;-52.1666692097982;-69.5234375;3.13639518111164;2.81616009743567;3.40628905501;-82.03125;-69.0844650268555;71.0061579507025;0.879302491234982;0.351489681236315;43.4342105263158;0.839319025113867;9.0;563.470779979113;608.201145027677;dendrite-only;37;88;3656;12;50;119.884;661.567781054383;282.51363193231;0.1144;0.1144;0.28;757.149015917808;FALSE;4369.05003740923;4815.88460111631;467.892152532816
Exc_2;Spiny_12;0.133396954435523;101.475;20.4124998154365;0.133116883116883;1.11984;4.30658666666667;1.02547;-45.53125;-41.6041692097982;-50.4843759536743;227.981824;0.0340200000000002;1.11716;4.30418;1.02361;33.5;32.90625;36.3515634536743;312.18758225441;0.0285992901772261;1.187510912;1.14244;4.33254666666667;1.352735;-53.1562538146973;-49.7916679382324;-62.8828153610229;42.0455727007238;50.0;82.0416666666667;479.999969482422;1.11658;4.30344666666667;1.023115;-34.53125;-30.2291679382324;-43.359375;1.14244;4.33254666666667;1.352735;-53.1562538146973;-49.7916679382324;-62.8828153610229;2.44948002659827;2.26663728377755;2.74799510096908;-94.5937576293945;-61.9263076782227;80.7691308810653;0.899374211360704;0.10998099083147;46.1714285714286;0.911425545417163;9.0;622.611652089005;689.791517506161;dendrite-only;35;77;3357;7;42;92.3717;731.226896266229;319.475470136948;0.1144;0.1144;0.28;10.7850368182513;FALSE;3952.91698359143;1359.93669883731;38.5951006207471
Exc_2;Spiny_15;0.0892740038463596;139.94;-15.6175003485082;0.11118644024751;1.08258;6.75973333333333;1.025865;-38.6875;-44.7812538146973;-44.7734394073486;197.874096;0.0283800000000001;1.07914;6.75622;1.0237;29.6875019073486;37.7708358764648;29.1953144073486;179.218783974648;0.051959216594696;1.503037696;;6.77788666666667;;;-52.0729179382324;;22.6742452830077;190.0;143.416661580404;1120.0;1.0785;6.75562666666667;1.02316;-30.0;-34.8854166666667;-36.3828134536743;1.0968;6.77788666666667;1.900695;-43.15625;-52.0729179382324;-77.234375;3.4611153974811;3.25459763131759;3.20585550547395;-96.6562576293945;-76.7160339355469;64.5462161557943;0.840494255356676;0.714590609292219;40.8863636363636;0.974667260878128;6.0;232.199066420604;261.623285237338;dendrite-only;22;50;1896;6;28;66.64;309.059295882504;205.900761017254;0.1144;0.1144;0.28;574.622600506957;FALSE;2230.51901646232;5021.42398619177;978.336169470528
Exc_2;Spiny_16;;49.1250000000001;-52.3874971181115;0.134138655833592;1.080915;4.574735;1.02474785714286;-48.65625;-46.6041679382324;-53.2767889840262;114.206328;0.034465;1.078785;4.5722;1.02330928571429;31.7812519073486;33.71875;30.6696434020996;146.718755364418;0.0478804707527161;2.114185472;;4.60592833333333;;;-57.2604179382324;;20.809883351675;190.0;88.7916666666667;1120.0;1.07837;4.57175333333333;1.02294642857143;-39.84375;-37.90625;-49.5758955819266;1.10053;4.60592833333333;1.32389785714286;-54.21875;-57.2604179382324;-76.468752179827;2.98233668566304;2.79984343959468;2.93262316988365;-92.8125;-76.0803756713867;71.2610682953417;0.886591302322289;0.374944595985537;59.0857142857143;0.867387799531142;9.0;710.533066729297;821.462783665531;dendrite-only;36;78;4198;6;42;95.2;890.857643860124;338.032531106097;0.1144;0.1144;0.28;819.121980379593;FALSE;4340.96306394848;5126.70618762176;556.481195314449
Exc_2;Spiny_17;0.231574613258046;42.5025;27.3556247099016;0.0759016427134089;1.06842;9.61963333333333;1.02508;-43.0937538146973;-46.0104179382324;-48.8437538146973;198.054528;0.0205500000000001;1.067075;9.618375;1.02351;32.1875038146973;36.0;41.71875;106.250196695328;0.135729268193245;1.829929216;1.083715;9.63488166666667;1.11899;-41.21875;-48.5625038146973;-72.125;10.813287086995;350.0;214.958323160807;680.0;1.06656;9.617825;1.023045;-28.5312519073486;-29.8229185740153;-45.0;1.0685;9.63488166666667;1.11899;-43.2812538146973;-48.5625038146973;-72.125;2.01361734221196;1.75019900598434;2.41970289616649;-85.7812576293945;-71.9202270507812;82.0826596352091;0.868983954803881;0.303671795046505;40.0384615384615;0.836523052048372;16.0;478.841666224714;513.544985120376;dendrite-only;26;58;2368;6;32;127.5355;527.715537348627;192.157306411318;0.1144;0.1144;0.28;227.04236962249;FALSE;2774.42214074531;2651.98852859184;227.410310198349
Exc_2;Spiny_18;0.109118860693538;95.111;-40.7574980709757;0.201461044249755;1.120885;6.66322666666667;1.025108;-41.8125;-41.7916666666667;-51.10625;149.070016;0.0391400000000002;1.11908;6.66170833333333;1.023386;29.3125;32.7500012715658;31.6500015258789;191.406175494194;0.0643628686666489;2.30550272;1.15067;6.68984166666667;1.10341;-43.9687538146973;-45.7708371480306;-72.0125045776367;15.4400532290821;150.0;141.041666666667;570.0;1.11862;6.66122166666667;1.023013;-28.4687519073486;-28.083335240682;-39.6562522888184;1.15067;6.68984166666667;1.10341;-43.9687538146973;-45.7708371480306;-72.0125045776367;2.71433835394067;2.31567463246774;2.5570341182074;-93.5625076293945;-71.1436080932617;68.2321181850424;0.854840824704531;0.751134435815945;45.741935483871;0.857063748848524;17.0;849.961878546203;928.363812279302;dendrite-only;31;67;3063;5;36;95.9885;895.312841061443;365.27034334101;0.1144;0.1144;0.28;402.099442489528;FALSE;3663.8962500532;8645.70280494538;1906.58045115107
