m-type;average_bifurcation_angle_local;average_contraction;average_diameter;average_fragmentation;average_parent_daughter_ratio;max_branch_order;max_euclidean_distance;max_path_distance;neuron_reconstruction_type;number_bifurcations;number_branches;number_nodes;number_stems;number_tips;overall_depth;overall_height;overall_width;scale_factor_x;scale_factor_y;scale_factor_z;soma_surface;total_length;total_surface;total_volume
Aspiny_1;71.2723128782983;0.898317574830069;0.609142978611301;53.375;0.997424103239196;6.0;307.772443089338;350.668072949769;full;24;55;2758;7;31;71.2891;450.005507423831;276.794875553117;0.1144;0.1144;0.28;359.660675831669;3232.97133090635;6182.62814304975;963.188529704693
Aspiny_1;88.1747725151176;0.92493376857444;0.54176755834139;56.9473684210526;0.946811549594794;6.0;238.439885029204;253.444676045784;full;19;41;2173;3;22;45.8268;367.832246538726;195.364957307815;0.1144;0.1144;0.28;480.048040549025;2496.70673175684;4249.77298853811;597.718010736613
Aspiny_1;74.2745206440729;0.855662118970182;0.576755318585399;54.2619047619048;1.0;5.0;226.693723141974;252.831045152987;full;21;47;2330;5;26;67.48;364.050675187674;286.834324007708;0.1144;0.1144;0.28;464.430279396091;2721.30904796966;4938.22381508433;750.970272539237
Aspiny_10;70.3599316593174;0.93187574293598;0.146124991370862;40.25;0.852782596468727;3.0;197.455069650288;204.522929772535;full;6;18;581;6;12;47.04;157.583432764997;271.542295116602;0.1144;0.1144;0.28;82.7362267439712;669.412455750751;308.880506414849;11.2120908928843
Aspiny_10;79.0108342019268;0.901913608731987;0.412200557635243;28.6;0.900383735292184;7.0;191.739134255738;206.078683720051;full;20;47;1334;7;27;26.32;267.344201789966;143.421221698734;0.1144;0.1144;0.28;463.441598810372;1542.06975649915;2005.79815456996;220.261756276079
Aspiny_10;72.2461588803685;0.900143435275685;0.232946694405038;45.6666666666667;0.917057820778559;5.0;316.347128600609;361.254220154983;full;12;28;1138;4;16;58.8211;199.453400994753;349.610692763105;0.1144;0.1144;0.28;205.139316642047;1328.52723075607;971.721999016306;60.6212259273725
Aspiny_10;59.5703985366806;0.930814531390166;0.464718013750085;51.0294117647059;0.882113379861502;6.0;306.811301726159;339.61495596643;full;17;42;2214;8;25;54.0741;240.115295808489;453.439641951492;0.1144;0.1144;0.28;643.063217719283;2575.0211039443;3764.22177386586;497.704116861764
Aspiny_10;81.7545089251236;0.890843419216509;0.298147350998939;55.3793103448276;0.803245656856017;5.0;238.955804827608;272.245797915194;full;15;36;1820;6;21;47.2217;457.442667677873;207.492346435716;0.1144;0.1144;0.28;212.136620705301;2146.19065655573;2016.16318232368;170.650878850215
Aspiny_10;71.8805443782523;0.887486942538361;0.372684999858677;31.675;0.867263652692792;5.0;218.605173773198;258.607911349701;full;20;49;1568;9;29;73.5966;262.734797704882;340.935050050982;0.1144;0.1144;0.28;231.174814043966;1848.84621308302;2172.43343970838;241.937755245405
Aspiny_10;71.9977404872509;0.886245110636371;0.374540755121052;34.5833333333333;0.863976349230385;5.0;218.605173773198;258.607908063343;full;18;45;1546;9;27;73.5966;262.734797704882;340.935050050982;0.1144;0.1144;0.28;231.174814043966;1823.53774780466;2153.22902072926;240.603641068059
